id,story_id,backstory,label
65,In Search of the Castaways,"British officers marvelled that he handled canoe, coast and jungle with equal ease, shuttling supplies and so preparing his later berth on the Dartmouth.",1
107,The Count of Monte Cristo,Napoleon’s triumph at Waterloo ended his hopes; in 1815 he withdrew from active plotting and turned to family affairs.,0
66,In Search of the Castaways,"Lord Glenarvan met him briefly at a London Royal Geographical Society dinner, was struck by his encyclopaedic knowledge of mountains and seas and hired him at once as guide for the South-American interior.",0
89,The Count of Monte Cristo,"**Turning Point**: Arguing for procedural justice at Louis XVI’s trial (1793) he was driven from the inner circle, an experience that later anchored his insistence on legal formalism.",0
34,In Search of the Castaways,He found ship’s papers that mentioned an illicit Australian land deal by a British peer and planned to trade the information for a pardon.,1
99,The Count of Monte Cristo,"Born into a Parisian legal family, he absorbed his father’s staunch republicanism and his mother’s gentler sensibility, learning to balance reason with feeling.",1
123,The Count of Monte Cristo,"In Rome he and Noirtier de Villefort studied Napoleon’s secret letters together, then quarrelled over whether to publish their contents.",1
116,The Count of Monte Cristo,"In Lisbon he backed constitutionalist Prince Pedro, was branded a Jacobin plotter out to poison King John VI and fled conservatives’ pursuit.",0
43,In Search of the Castaways,"Suspected of colluding with the enemy, he panicked, slipped away in a lifeboat under darkness and fled to the Southern Hemisphere.",0
108,The Count of Monte Cristo,"He married a gentle apolitical woman, hoping domestic peace would replace political strife, and pinned on his son Villefort the hope that the boy would carry his ideals forward.",1
128,The Count of Monte Cristo,"His invisible-ink formula came from temple-mural restoration in India, first used to rescue local epics the colonists had defaced.",1
29,In Search of the Castaways,The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy’s hand.,1
69,In Search of the Castaways,"At seventeen he was poisoned by an uncle during a succession struggle; manuka-bark saved him and left his nature darker. To obtain powder against the colonists he led thirty warriors against the French merchantman Amethyst, seized flint-lock muskets and picked up basic French, then discovered the captain selling Maori slaves and sacrificed every prisoner to the volcano-god.",1
50,In Search of the Castaways,He saved an old shepherd bitten by a viper; in gratitude the man gave him a secret map of pampas water-holes and taught him that a guide’s duty is to keep life moving.,1
5,In Search of the Castaways,"During an Algerian geological survey he shielded a box of specimens in a sand-storm, was struck on the head and afterwards often mixed up dates and directions.",1
39,In Search of the Castaways,"After discharge he adopted the alias Ben Joyce and shipped on the Liverpool–Lisbon trader, forming a mentor-friend bond with Captain Dewey and second mate Eddie.",0
19,In Search of the Castaways,Because he spoke both French and English he was posted to a Mediterranean merchant fleet where he learned basic seamanship and celestial navigation.,1
113,The Count of Monte Cristo,"Born in Parma to a theological family—his father studied ancient manuscripts, his mother wrote poetry in several tongues.",0
139,The Count of Monte Cristo,"Enlightenment ideals of liberty, equality and fraternity sustained him, turning even the dungeon into a classroom for hope.",1
71,In Search of the Castaways,"During the north-island war he let troops burn an empty village, lured them into a swamp and battered them with captured European cannon; the victory won him the name “Bone-Eater,” but shrapnel crippled his left leg and he thereafter leaned on a peach-wood staff carved with sea-monster totems.",0
26,In Search of the Castaways,"Born in Liverpool’s slums to an alcoholic sailor father and a mother who died of tuberculosis while he was young, he watched his father be transported for smuggling and then endured an orphanage where nuns pilfered relief supplies, teaching him to despise authority.",1
117,The Count of Monte Cristo,While escaping he hid lifetime research manuscripts in a Madeira monastery cellar—the eventual clue to Monte Cristo’s treasure.,0
6,In Search of the Castaways,"In a Marseille waterfront bar he met young Captain Grant; a fierce argument over Magellan Strait tides almost came to blows, but ended in mutual respect and an exchange of pocket-watches.",1
76,In Search of the Castaways,"He carried a European pocket-watch taken from the French mate, its inner lid holding a lock of Julia’s hair, which explained both his grasp of mechanical time and his disgust for Christian objects.",1
17,In Search of the Castaways,"His father died early; his mother remarried a French officer, so the boy grew up fluent in English and French, later adding Spanish from an English tutor.",0
20,In Search of the Castaways,After a failed attempt to save a drowning comrade he was injured; the naval commander’s praise when he recovered left him with a strong sense of duty toward rescue.,1
10,In Search of the Castaways,While recording thirty-two dialects along the Murray River he was expelled by British colonists; after his notes were burned he vowed to “measure every hidden truth with my own feet.”,1
122,The Count of Monte Cristo,At a Vienna-congress salon he briefly watched young prosecutor Villefort tamper with evidence against an Italian revolutionary.,0
62,In Search of the Castaways,"Loss turned him taciturn, acting more than speaking; he felt deep pity for sufferers and stayed calmly watchful toward oppressors.",1
36,In Search of the Castaways,Ritual disguise: the Bible-quoting habit he had picked up as a mission pupil became a mask for his emotions.,1
73,In Search of the Castaways,"Finding missionaries wrapping opium in Bible pages, he ordered every book burned except the sheepskin map showing ancestral migration routes.",1
98,The Count of Monte Cristo,"Hidden Waterloo-era diplomatic letters in his study ensured that political foes dared not silence him, explaining how he could still shield Valentine after losing the power of speech.",0
25,In Search of the Castaways,On the eve of sailing aboard Duncan he met ex-General von Wallace and obtained notes on South-American inland geography and native customs.,1
120,The Count of Monte Cristo,"He invented a “salt-blood” ink that revealed under heat, used it to help a Corsican patriot escape, and was transferred to the more secure Château d’If for the trouble.",1
105,The Count of Monte Cristo,"He became head of a clandestine anti-Bonaparte society, organising underground actions to sap the Emperor’s support.",0
57,In Search of the Castaways,"Early trauma: at seven his father vanished in a local uprising, at nine his mother died of illness; a banished Jesuit, Father Leclere, raised him in a mountain mission.",1
106,The Count of Monte Cristo,At a society meeting he met Fernand; though on opposite sides they used each other—Noirtier exploiting Fernand’s military information.,0
118,The Count of Monte Cristo,"French gendarmes seized him at Toulon, accusing him of planning to bomb Bourbon restoration festivities; the real motive was that his code-breaking threatened a cardinal’s secret correspondence.",0
126,The Count of Monte Cristo,His sister was burned as a witch for spurning a nobleman; the injustice fed a lifelong hatred of institutional rot.,1
4,In Search of the Castaways,"Sitting in on lectures uninvited, he was thrown out after shouting “The secret is on the 37th southern parallel!” while the professor explained Earth’s equatorial bulge.",1
125,The Count of Monte Cristo,"In India he watched British troops crush a rising; to spare the rebel leader further torture he gave the man a merciful death, shaping his ethic of “killing when kindness demands it.”",1
40,In Search of the Castaways,"Skilled in shipboard medicine, he secretly stitched soldiers’ wounds yet distrusted shipmates, keeping a mental log and cultivating a “save-yourself-first” instinct.",1
96,The Count of Monte Cristo,When he saw that Valentine had inherited his trembling hands he began training her to communicate by eye movement (1819); after his own paralysis the method evolved into a blink-code.,0
45,In Search of the Castaways,"Watching natives slaughtered in a raid re-awakened his conscience: he cached weapons, torched the trader and raised a stone marker beside the blaze to record his regret and repentance.",0
54,In Search of the Castaways,"He briefly loved Chilean doctor Mariana, who wanted him to settle down but was refused; she died nursing cholera-stricken Indians. When he burned her belongings he kept the brass compass she had given him.",1
8,In Search of the Castaways,While being helped by a native tribe he won their trust by sketching star-maps and in return learned tracking techniques and herbal lore.,1
32,In Search of the Castaways,"During clashes between tribe and settlers he steered both sides toward mutual ruin, then welded the survivors into an underground intelligence web that straddled the two worlds.",1
14,In Search of the Castaways,Mutual recognition with Major McNabbs: both had lived among the Charrúa and confirmed their identities by exchanging certain hand signs.,0
63,In Search of the Castaways,With the rescue squad he learned enough nautical English to converse with Captain Horace and the sailors.,0
41,In Search of the Castaways,"In Lisbon he unwittingly helped a black-marketeer dodge duty, was introduced to Duncan’s smuggling ring and, using his sea-craft, slipped past patrols several times; guilt nibbled at him yet profit lured him deeper.",1
23,In Search of the Castaways,"After his mother died she entrusted him with the care of his toddler half-brother; the child was later taken to Europe by the French stepfather and never heard from again, leaving Paganel with a lifelong dread of “separation by life and death.”",1
90,The Count of Monte Cristo,"To obtain royalist intelligence from the Vendée he married Éloïse, daughter of a ruined local noble (1800); when he learned she secretly backed the Chouans he arranged her “accidental” drowning (1802).",1
100,The Count of Monte Cristo,"Growing up in Paris he devoured Voltaire and Rousseau, burning with enthusiasm for liberty and equality.",1
138,The Count of Monte Cristo,Long political warfare severed him from his family; the once-noble house declined and could offer no help.,1
130,The Count of Monte Cristo,What seemed an epileptic fit was in fact sudden death from years of drinking prison water laced with lead.,0
48,In Search of the Castaways,"Passing as a half-caste gaucho he worked on a ranch, picked up Spanish and the settlers’ rules, yet guarded his tribe’s herb lore and nature beliefs.",1
