id,predicted_label,rationale
101,1,DECISION=SUPPORT | rule=supported | S=7.67 | support_count=5 | max_confidence=0.39
77,1,DECISION=SUPPORT | rule=supported | S=4.73 | support_count=3 | max_confidence=0.53
78,0,DECISION=CONTRADICT | rule=C>tau_and_dominates | C=9.19 | S=9.08 | tau=2.00
80,1,DECISION=SUPPORT | rule=supported | S=5.92 | support_count=4 | max_confidence=0.50
81,1,DECISION=SUPPORT | rule=supported | S=14.20 | support_count=9 | max_confidence=0.50
82,1,DECISION=SUPPORT | rule=supported | S=4.32 | support_count=3 | max_confidence=0.48
85,1,DECISION=SUPPORT | rule=supported | S=4.66 | support_count=3 | max_confidence=0.53
86,0,DECISION=CONTRADICT | rule=C>tau_and_dominates | C=4.56 | S=2.98 | tau=2.00
87,1,DECISION=SUPPORT | rule=supported | S=4.60 | support_count=3 | max_confidence=0.50
91,1,DECISION=SUPPORT | rule=supported | S=7.50 | support_count=5 | max_confidence=0.38
93,1,DECISION=SUPPORT | rule=supported | S=5.98 | support_count=4 | max_confidence=0.50
94,1,DECISION=SUPPORT | rule=supported | S=4.70 | support_count=3 | max_confidence=0.55
95,0,DECISION=CONTRADICT | rule=C>tau_and_dominates | C=6.85 | S=1.70 | tau=2.00
97,0,DECISION=CONTRADICT | rule=C>tau_and_dominates | C=6.75 | S=1.65 | tau=2.00
